"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.751848570E-1,-2.624045134E0,-4.309563041E-1,1.033337498E1,1.067005036E1
9.802202520E-1,-2.633621931E0,-3.351882398E-1,9.911994934E0,1.026138193E1
9.852556460E-1,-2.126051188E0,-1.532289088E-1,9.682151794E0,9.914012110E0
9.902605230E-1,-1.982398987E0,-1.244984865E-1,9.069235802E0,9.284203985E0
9.952959160E-1,-1.953668594E0,-4.309563041E-1,1.015141487E1,1.034667909E1
1.000331311E0,-1.819593310E0,-4.213795066E-1,9.911994934E0,1.008643267E1
1.005336187E0,-1.628057122E0,-3.160346150E-1,1.042914295E1,1.056018326E1
1.010371582E0,-1.484405041E0,-2.873041928E-1,9.519346237E0,9.638669763E0
1.015406976E0,-1.340752959E0,-1.915361360E-2,9.318233490E0,9.414215885E0
1.020442371E0,-1.551442742E0,0.000000000E0,9.615114212E0,9.739476161E0
1.025447247E0,-1.446097851E0,3.830722719E-2,9.643844604E0,9.751738573E0
1.030482641E0,-1.197100878E0,2.106897533E-1,9.797073364E0,9.872187558E0
1.035518035E0,-1.168370485E0,1.436520964E-1,9.844957352E0,9.915085011E0
1.040553430E0,-1.340752959E0,1.340752989E-1,9.844957352E0,9.936738899E0
1.045558306E0,-1.283292055E0,1.149216816E-1,9.701305389E0,9.786489245E0
1.050593701E0,-1.426944256E0,6.703764945E-2,9.979032516E0,1.008076157E1
1.055629095E0,-1.465251446E0,-4.788403213E-2,1.002691650E1,1.013352403E1
1.060664490E0,-1.369483352E0,-2.489969730E-1,9.979032516E0,1.007564262E1
1.065669366E0,-1.340752959E0,-2.968810201E-1,9.911994934E0,1.000666780E1
1.070704760E0,-1.321599364E0,-3.447650373E-1,1.034295177E1,1.043274361E1
1.075740154E0,-1.321599364E0,-4.596867263E-1,9.739612579E0,9.839613303E0
1.080775549E0,-1.072602391E0,-4.022258818E-1,9.797073364E0,9.863818128E0
1.085780425E0,-9.097966552E-1,-2.968810201E-1,9.979032516E0,1.002481712E1
1.090815820E0,-8.906430602E-1,-1.819593310E-1,1.008437729E1,1.012526639E1
1.095851214E0,-7.469909191E-1,-1.436520964E-1,1.020887566E1,1.023717605E1
1.100886608E0,-6.607996821E-1,0.000000000E0,9.969455719E0,9.991331420E0
1.105891484E0,-7.086837292E-1,-9.576806799E-3,1.001733971E1,1.004238115E1
1.110926879E0,-7.182605267E-1,2.873042040E-2,9.739612579E0,9.766103461E0
1.115962273E0,-6.895300746E-1,2.298433632E-1,9.576807022E0,9.604348621E0
1.120997667E0,-7.374141216E-1,2.585737705E-1,9.490615845E0,9.522732228E0
1.126002544E0,-8.044517636E-1,6.703764945E-2,9.595960617E0,9.629854456E0
1.131037939E0,-6.607996821E-1,1.628057212E-1,9.567230225E0,9.591405324E0
1.136073333E0,-6.607996821E-1,1.723825186E-1,9.710882187E0,9.734865423E0
1.141108726E0,-6.416460276E-1,2.202665508E-1,9.854534149E0,9.877857575E0
1.146113603E0,-6.512228847E-1,2.106897533E-1,1.020887566E1,1.023179474E1
1.151148998E0,-7.374141216E-1,3.830722719E-2,1.001733971E1,1.004451800E1
1.156184392E0,-7.278373241E-1,-2.394201756E-1,9.787496567E0,9.817441532E0
1.161219786E0,-6.799532771E-1,-3.256114423E-1,1.011310768E1,1.014116888E1
1.166224663E0,-6.607996821E-1,-3.734954596E-1,1.019929886E1,1.022750469E1
1.171260058E0,-9.002198577E-1,-1.532289088E-1,1.010353088E1,1.014471346E1
1.176295451E0,-8.523358107E-1,-3.830722719E-2,1.023760605E1,1.027309697E1
1.181300328E0,-7.278373241E-1,-1.149216816E-1,1.002691650E1,1.005395488E1
1.186335722E0,-3.734954596E-1,-1.532289088E-1,9.710882187E0,9.719270076E0
1.191371117E0,-3.064578176E-1,-3.160346150E-1,9.739612579E0,9.749556270E0
1.196406511E0,-1.723825186E-1,-3.447650373E-1,9.768342972E0,9.775945125E0
1.201411388E0,-7.661445439E-2,-3.160346150E-1,9.452308655E0,9.457900748E0
1.206446782E0,-1.532289088E-1,-3.351882398E-1,9.921571732E0,9.928414570E0
1.211482176E0,-5.075707436E-1,-4.596867263E-1,9.979032516E0,1.000250118E1
1.216517570E0,-4.788403511E-1,-5.937620401E-1,1.018972206E1,1.021823258E1
1.221522447E0,-2.394201756E-1,-5.937620401E-1,1.022802925E1,1.024804653E1
1.226557841E0,-6.703764945E-2,-4.022258818E-1,1.026633644E1,1.027443155E1
1.231593236E0,-1.628057212E-1,-1.340752989E-1,1.013226128E1,1.013445610E1
1.236628630E0,-2.968810201E-1,-1.340752989E-1,1.006522369E1,1.007049366E1
1.241633507E0,-4.884171486E-1,-3.830722570E-1,9.442731857E0,9.463111570E0
1.246668900E0,-9.864110947E-1,-3.734954596E-1,1.248815632E1,1.253261960E1
1.251704295E0,-5.841852427E-1,-1.915361360E-2,1.086967564E1,1.088537954E1
1.256739689E0,-4.979939461E-1,6.703764945E-2,9.959878922E0,9.972546322E0
1.261744566E0,-4.788403511E-1,1.628057212E-1,9.988609314E0,1.000140539E1
1.266779960E0,-3.447650373E-1,9.576806426E-2,1.017056847E1,1.017686088E1
1.271815355E0,-2.106897533E-1,-9.576806799E-3,1.004607010E1,1.004828375E1
1.276820231E0,-4.022258818E-1,-6.703764945E-2,1.063025570E1,1.063807388E1
1.281855625E0,-5.075707436E-1,-9.576806799E-3,9.835380554E0,9.848473507E0
1.286891019E0,-3.351882398E-1,-9.576806426E-2,9.260771751E0,9.267330582E0
1.291926414E0,-2.873041928E-1,0.000000000E0,9.155426979E0,9.159933781E0
1.296931290E0,-2.394201756E-1,-4.788403213E-2,1.002691650E1,1.002988881E1
1.301966685E0,-1.819593310E-1,-2.873042040E-2,8.963891029E0,8.965783681E0
1.307002079E0,-3.734954596E-1,1.436520964E-1,1.031422138E1,1.032198128E1
1.312037474E0,-1.723825186E-1,2.011129409E-1,9.672574997E0,9.676201177E0
1.317042349E0,-2.106897533E-1,2.873041928E-1,1.012268448E1,1.012895231E1
1.322077744E0,-1.149216816E-1,2.106897533E-1,9.126696587E0,9.129851464E0
1.327113138E0,-2.873042040E-2,1.436520964E-1,9.758766174E0,9.759865706E0
1.332118015E0,-2.873042040E-2,2.394201756E-1,9.701305389E0,9.704301815E0
1.337153409E0,-6.703764945E-2,1.532289088E-1,1.028549004E1,1.028684978E1
1.342188804E0,-1.915361360E-2,1.244984865E-1,9.672574997E0,9.673395154E0
1.347224198E0,-1.340752989E-1,9.576806426E-2,9.653421402E0,9.654827418E0
1.352229075E0,-1.053448766E-1,1.628057212E-1,9.586383820E0,9.588344903E0
1.357264468E0,-3.256114423E-1,-9.576806799E-3,9.940725327E0,9.946061258E0
1.362299863E0,-2.011129409E-1,-4.788403213E-2,9.557653427E0,9.559889033E0
1.367335257E0,-1.723825186E-1,-5.746084079E-2,9.538499832E0,9.540230423E0
1.372340134E0,-2.873041928E-1,-7.661445439E-2,9.605537415E0,9.610138526E0
1.377375528E0,-2.873041928E-1,9.576806426E-2,9.739612579E0,9.744319803E0
1.382410923E0,-3.160346150E-1,1.340752989E-1,9.375694275E0,9.381977254E0
1.387415800E0,-3.256114423E-1,2.873042040E-2,1.020887566E1,1.021410742E1
1.392451193E0,-2.011129409E-1,-9.576806799E-3,9.385271072E0,9.387430491E0
1.397486587E0,-3.160346150E-1,8.619125932E-2,1.046745014E1,1.047257463E1
1.402521982E0,-1.532289088E-1,-9.576806799E-3,1.001733971E1,1.001851614E1
1.407526859E0,-1.244984865E-1,4.788403213E-2,9.979032516E0,9.979923984E0
1.412562253E0,2.106897533E-1,-5.650315881E-1,8.801085472E0,8.821720714E0
1.417597647E0,-1.340752989E-1,-7.661445439E-2,1.026633644E1,1.026749774E1
1.422633042E0,-3.447650373E-1,2.777273953E-1,1.052491093E1,1.053421784E1
1.427637917E0,7.661445439E-2,-2.873042040E-2,1.031422138E1,1.031454594E1
1.432673312E0,1.340752989E-1,-5.746084079E-2,9.854534149E0,9.855613691E0
1.437708706E0,-1.915361360E-2,2.011129409E-1,1.037168217E1,1.037364951E1
1.442744101E0,8.619125932E-2,-7.661445439E-2,9.825803757E0,9.826480457E0
1.447748977E0,-9.576806799E-3,1.723825186E-1,1.091755962E1,1.091892465E1
1.452784372E0,3.543418646E-1,2.489969730E-1,9.414001465E0,9.423957833E0
1.457819766E0,1.436520964E-1,3.639186621E-1,8.839392662E0,8.848046979E0
1.462824642E0,8.619125932E-2,4.213795066E-1,9.682151794E0,9.691700212E0
1.467860036E0,4.788403213E-2,8.427590132E-1,9.222464561E0,9.261014427E0
1.472895431E0,1.532289088E-1,2.681505978E-1,7.460332394E0,7.466722391E0
1.477930825E0,1.532289088E-1,8.906430602E-1,1.164539719E1,1.168041094E1
1.482935702E0,1.953668594E0,3.830722719E-2,8.714894295E0,8.931274880E0
1.487971096E0,2.221819162E0,-5.267243981E-1,8.820239067E0,9.111011809E0
1.493006491E0,1.053448796E0,-4.596867263E-1,1.032379818E1,1.038758274E1
1.498041884E0,7.086837292E-1,-1.177947283E0,1.039083576E1,1.048137683E1
1.503046761E0,1.053448766E-1,-7.469909191E-1,9.634267807E0,9.663757507E0
1.508082155E0,-3.639186621E-1,-1.321599364E0,1.102290440E1,1.110781180E1
1.513117550E0,-4.692635238E-1,-7.469909191E-1,1.008437729E1,1.012288837E1
