"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.223836976E0,-1.273715258E0,4.290409565E0,2.003467941E1,2.052847642E1
1.228872372E0,-1.101332784E0,2.509123325E0,2.109770584E1,2.127491071E1
1.233907768E0,-1.685518026E0,6.799532771E-1,2.176808167E1,2.184382491E1
1.238912646E0,-2.853888512E0,-7.374141216E-1,2.198834801E1,2.218503792E1
1.243948042E0,-4.309563160E0,-1.359906554E0,2.183511925E1,2.229784996E1
1.248983438E0,-5.315127850E0,-1.675941229E0,2.141374016E1,2.212707913E1
1.254018833E0,-5.554547787E0,-1.762132406E0,2.099236107E1,2.178617302E1
1.259023712E0,-4.893748283E0,-2.097320795E0,2.040817451E1,2.109125681E1
1.264059108E0,-3.380612850E0,-2.537853718E0,1.978568268E1,2.023221401E1
1.269094504E0,-1.331176162E0,-2.853888512E0,1.934514999E1,1.959978413E1
1.274129899E0,7.565677166E-1,-2.959233284E0,1.916319084E1,1.940508540E1
1.279165296E0,2.624045134E0,-2.777273893E0,1.911530685E1,1.949343016E1
1.284170174E0,4.137180328E0,-2.384624958E0,1.903869247E1,1.962841075E1
1.289205570E0,5.248090267E0,-1.790862918E0,1.879927254E1,1.960005840E1
1.294240965E0,6.004657745E0,-1.292868972E0,1.836831474E1,1.936807712E1
1.299245844E0,6.550535679E0,-9.097966552E-1,1.786074448E1,1.904582476E1
1.304281240E0,7.000645638E0,-6.799532771E-1,1.720952225E1,1.859136982E1
1.309316636E0,7.546523571E0,-5.650315881E-1,1.644337654E1,1.810121296E1
1.314352031E0,8.054094315E0,-4.405331016E-1,1.561977196E1,1.757952732E1
1.319387427E0,8.331821442E0,-1.244984865E-1,1.487278080E1,1.704800156E1
1.324392306E0,8.418013573E0,2.202665508E-1,1.396298409E1,1.630571662E1
1.329427701E0,8.408436775E0,5.937620401E-1,1.309149456E1,1.557053603E1
1.334463097E0,8.159439087E0,1.005564690E0,1.209550667E1,1.462494062E1
1.339498493E0,7.958326340E0,1.321599364E0,1.101332760E1,1.365192176E1
1.344503372E0,7.489062786E0,1.618480325E0,9.873687744E0,1.249780979E1
1.349538767E0,6.866570473E0,1.848323703E0,8.599972725E0,1.115910487E1
1.354574163E0,6.311115742E0,1.953668594E0,7.536946774E0,1.002260293E1
1.359609559E0,5.669469833E0,1.991975784E0,6.445190907E0,8.811999860E0
1.364614438E0,5.027823448E0,1.944091797E0,5.525817394E0,7.719660576E0
1.369649833E0,4.740519524E0,2.011129379E0,4.692635536E0,6.966921487E0
1.374685229E0,4.817133904E0,2.087743998E0,3.773261786E0,6.465366080E0
1.379720625E0,5.027823448E0,2.183511972E0,3.102885485E0,6.298780159E0
1.384725504E0,5.305551052E0,2.288856745E0,2.489969730E0,6.291874635E0
1.389760899E0,5.554547787E0,2.193088770E0,2.097320795E0,6.329407080E0
1.394796295E0,6.253654957E0,2.451662540E0,1.810016513E0,6.956652162E0
1.399831691E0,6.847416878E0,2.777273893E0,1.675941229E0,7.576882418E0
1.404836570E0,7.230489254E0,2.920926094E0,1.398213744E0,7.922549197E0
1.409871965E0,7.565677166E0,2.834734917E0,1.110909581E0,8.155324220E0
1.414907361E0,7.795520782E0,2.365471363E0,8.236053586E-1,8.188035468E0
1.419942757E0,7.441178799E0,1.982398987E0,8.523358107E-1,7.747743155E0
1.424947636E0,6.703764915E0,1.551442742E0,9.768342972E-1,6.949938408E0
1.429983031E0,5.956773758E0,1.015141487E0,1.503558636E0,6.226905685E0
1.435018427E0,5.248090267E0,6.129156351E-1,2.001552582E0,5.650161924E0
1.440053823E0,4.817133904E0,3.064578176E-1,2.691082716E0,5.526356994E0
1.445058702E0,4.587290287E0,1.053448766E-1,3.332728863E0,5.671103190E0
1.450094097E0,4.548983097E0,0.000000000E0,3.993528366E0,6.053223606E0
1.455129493E0,4.616020679E0,5.746084079E-2,4.845864296E0,6.692783385E0
1.460164889E0,4.740519524E0,9.576806426E-2,5.525817394E0,7.281233052E0
1.465169768E0,4.845864296E0,1.340752989E-1,6.215347767E0,7.882317224E0
1.470205163E0,4.884171486E0,2.202665508E-1,6.799532890E0,8.374801250E0
1.475240559E0,4.788403511E0,2.968810201E-1,7.422025204E0,8.837613063E0
